msgid,rus,en
I SAID NO ADS.,Я СКАЗАЛ - БЕЗ РЕКЛАМЫ!,I SAID NO ADS.
UseCameraLagSubstepping,,UseCameraLagSubstepping
DOWNLOADING,ЗАГРУЗКА,DOWNLOADING
CHOOSE THE CONTRACT,ВЫБЕРИТЕ КОНТРАКТ,CHOOSE THE CONTRACT
Jet Packs,,Jet Packs
"YOUR CHIPS WILL
RUN OUT SOON","ВАШИ ФИШКИ СКОРО
ЗАКОНЧАТСЯ","YOUR CHIPS WILL
RUN OUT SOON"
SHARE LINK,ПОДЕЛИТЬСЯ,SHARE LINK
CHIPS,ФИШКИ,CHIPS
 FROM HEADSHOTS,ОТ ХЭДШОТОВ, FROM HEADSHOTS
Mefisto summoning burning skull...,МЕФИСТО ПРИЗЫВАЕТ ГОРЯЩИЙ ЧЕРЕП...,Mefisto summoning burning skull...
Skeletal mesh LOD Bias,,Skeletal mesh LOD Bias
ULT CHARGE,ЗАРЯД УЛЬТЫ,ULT CHARGE
Deactivate,,Deactivate
{0} times get to battle royale top 5,"{0} раз попадите в ТОП-5 в ""Королевской Битве""",{0} times get to battle royale top 5
Dance,ТАНЕЦ,Dance
Hit me to toggle debug!,,Hit me to toggle debug!
SSW,,SSW
From: ,,From: 
Controlling the jumping frenzy,КОНТРОЛИРУЕМ БЕЗУМНЫЕ ПРЫЖКИ...,Controlling the jumping frenzy
NEW LOOK,НОВЫЙ ОБРАЗ,NEW LOOK
MANY KILLS ,МНОГО УБИЙСТВ,MANY KILLS 
JACKPOT,ДЖЕКПОТ,JACKPOT
BACK,НАЗАД,BACK
Fortune,,Fortune
UNKNOWN,,UNKNOWN
DEFAULT,ПО УМОЛЧАНИЮ,DEFAULT
DISABLE ADS,ОТКЛЮЧИТЬ РЕКЛАМУ,DISABLE ADS
"Invalid texture max size, {MaxSize} is maximum",,"Invalid texture max size, {MaxSize} is maximum"
Slot-Descr,,Slot-Descr
Balanced,БАЛАНС,Balanced
{0} times get to battle royale top 10,"{0} раз попадите в ТОП-10 в ""Королевской Битве""",{0} times get to battle royale top 10
SOLO,В ОДИНОЧКУ,SOLO
Money,,Money
Charging the Masteries...,ЗАРЯЖАЕМ МАСТЕРОВ...,Charging the Masteries...
Controlling the volume of weapon effects,Регулировка громкости звуков оружия,Controlling the volume of weapon effects
Bored,БОРД,Bored
INV,ИНВ,INV
"Complex gameplay mechanics and realistic weapon handling in this immersive, high-stakes mode with a dedicated shot button for precision","Сложные механики геймплея и реалистичное управление оружием в этом погружающем, высокоинтенсивном режиме с отдельной кнопкой для точной стрельбы","Complex gameplay mechanics and realistic weapon handling in this immersive, high-stakes mode with a dedicated shot button for precision"
 {Downloaded} MB of {Total} MB,{Downloaded} МБ ИЗ {Total} МБ, {Downloaded} MB of {Total} MB
Line spread,,Line spread
TAP TO RETRY,"НАЖМИТЕ, ЧТОБЫ НАЧАТЬ ЗАНОВО",TAP TO RETRY
MYSTERIOUS CHEST,ТАЙНЫЙ ЯЩИК,MYSTERIOUS CHEST
Custom,ПЕРСОНАЛЬНЫЙ,Custom
Incorrect texture Group! MP Diffuse in Champions folder should have Character  texture group,,Incorrect texture Group! MP Diffuse in Champions folder should have Character  texture group
to help you have the best possible,ЧТОБЫ ПОМОЧЬ ВАМ ПОЛУЧИТЬ ЛУЧШИЕ ВОЗМОЖНОСТИ,to help you have the best possible
DOUBLE,ДВОЙНОЙ,DOUBLE
Bob The Blob,БОБ-БЛОБ,Bob The Blob
This Particle/Niagara System not added to PSO level.,,This Particle/Niagara System not added to PSO level.
MAX 19 symbols,МАКС. 19 СИМВОЛОВ,MAX 19 symbols
Task-Target,,Task-Target
Auto Turret,АВТО-ТУРЕЛЬ,Auto Turret
Zombie,ЗОМБИ,Zombie
LIVING ROOM,ГОСТИНАЯ,LIVING ROOM
"GET ON
STARTER BUNDLE","ПОЛУЧИТЕ
НАБОР НОВИЧКА","GET ON
STARTER BUNDLE"
SPINS/FOR LUCKY DRAW,ВРАЩЕНИЯ/ДЛЯ УДАЧНОГО РОЗЫГРЫША,SPINS/FOR LUCKY DRAW
Activate,,Activate
Weapon-Name,,Weapon-Name
0 uT,,0 uT
15m,15М,15m
This asset used outside of artSodom folder. Consider moving to proper location.,,This asset used outside of artSodom folder. Consider moving to proper location.
CONTINUE TO MAIN MENU,ПЕРЕЙТИ В ГЛАВНОЕ МЕНЮ,CONTINUE TO MAIN MENU
TOP 100,ТОП-100,TOP 100
Sence Vertical,,Sence Vertical
NO ADS,БЕЗ РЕКЛАМЫ,NO ADS
CameraLagMaxTimeStep,,CameraLagMaxTimeStep
No targets in range,,No targets in range
Move your finger on the left side of the screen to move your character,"ПЕРЕМЕЩАЙТЕ ПАЛЬЦЕМ ПО ЛЕВОЙ ЧАСТИ ЭКРАНА, ЧТОБЫ ПЕРЕДВИГАТЬ ПЕРСОНАЖА ПО КАРТЕ",Move your finger on the left side of the screen to move your character
CHALLENGE INFO,ИНФОРМАЦИЯ ОБ ИСПЫТАНИИ,CHALLENGE INFO
2. HOLD <YellowText>EXPRESS UPGRADE</> FOR QUICKLY UPGRADE ALL PARTS,"2. УДЕРЖИВАЙТЕ КНОПКУ <YellowText>БЫСТРОЕ УЛУЧШЕНИЕ,</> ЧТОБЫ ПООЧЕРЕДНО УЛУЧШИТЬ ВСЕ ПАРАМЕТРЫ ОРУЖИЯ",2. HOLD <YellowText>EXPRESS UPGRADE</> FOR QUICKLY UPGRADE ALL PARTS
Guy packing office turret...,ПАРЕНЁК УПАКОВЫВАЕТ ТУРЕЛЬ...,Guy packing office turret...
Skin Specs,,Skin Specs
I'M COOL,Я КРУТ!,I'M COOL
Water,,Water
basic spline,,basic spline
Preparing Master's outfits...,ПОДГОТАВЛИВАЕМ НАРЯДЫ МАСТЕРОВ...,Preparing Master's outfits...
MASTER BUCKS,PAN-БАКСЫ,MASTER BUCKS
Value (micro Tesla),,Value (micro Tesla)
Kill {0} enemies with any SMG,Убейте {0} врагов с помощью любого ПП,Kill {0} enemies with any SMG
"RESTORE YOUR HEALTH
WITH THE PILL","ВОССТАНОВИТЕ HP С
ПОМОЩЬЮ АПТЕЧКИ","RESTORE YOUR HEALTH
WITH THE PILL"
Blueprints,,Blueprints
Add Velocity Z,,Add Velocity Z
"OK, GO","ОК, ВПЕРЁД","OK, GO"
Crafting the banana bomb,СОЗДАЁМ БАНАН-БОМБУ,Crafting the banana bomb
All bullets,ВСЕ ПУЛИ,All bullets
Officer D.O.Nut,,Officer D.O.Nut
War Drone,,War Drone
Removing the nit-pickers...,УБИРАЕМ ЗАНУД...,Removing the nit-pickers...
SouthSouthEast,,SouthSouthEast
make 5 any power bank upgrades,Улучшите повер-банк 3 раза,make 5 any power bank upgrades
Globe,,Globe
CHEKING,ПРОВЕРКА,CHEKING
TAP AND HOLD TO ADS TO FIRE,"НАЖМИТЕ И ДЕРЖИТЕ КНОПКУ, ЧТОБЫ СТРЕЛЯТЬ",TAP AND HOLD TO ADS TO FIRE
Controlling the volume of music,Регулировка громкости музыки,Controlling the volume of music
SouthSouthWest,,SouthSouthWest
Offer-Name,,Offer-Name
Compression Settings Not Noramlmap,,Compression Settings Not Noramlmap
Helmet-Price,,Helmet-Price
Gunslunger,,Gunslunger
At least something will be fully upgraded in my life.,"По крайней мере, хоть что-то будет полностью улучшено в моей жизни.",At least something will be fully upgraded in my life.
ULTIMATE,УЛЬТА,ULTIMATE
Charging ULTs...,ЗАРЯЖАЕМ УЛЬТЫ...,Charging ULTs...
"Mass is factored into the Solver Calculations (Solve Forces and Solve Rotational Forces) where forces are converted into a final velocity. The more massive a particle, the more force is required to move it. ",,"Mass is factored into the Solver Calculations (Solve Forces and Solve Rotational Forces) where forces are converted into a final velocity. The more massive a particle, the more force is required to move it. "
Cndy,КОНФЕТНЫЙ КУПОЛ,Cndy
MARKSMAN,МЕТКИЙ СТРЕЛОК,MARKSMAN
Hold,ДЕРЖАТЬ,Hold
UPDATE,ОБНОВЛЕНИЕ,UPDATE
ACTIVE ,АКТИВЕН,ACTIVE 
ASSIST,ПОМОЩЬ,ASSIST
 +50% ,+50%, +50% 
Welcome to Casino,,Welcome to Casino
GAME TIPS,ПОДСКАЗКИ ПО ИГРЕ,GAME TIPS
THE CHALLENGE IS OVER,ИСПЫТАНИЕ ОКОНЧЕНО,THE CHALLENGE IS OVER
DOWNLOAD CANCELED,ЗАГРУЗКА ОТМЕНЕНА,DOWNLOAD CANCELED
MINIMALISTIC STYLE,МИНИМАЛИСТИЧНО,MINIMALISTIC STYLE
Crosshair style for all types of weapons,Стиль применятеся для всех типов оружия,Crosshair style for all types of weapons
Crazy Legs tying his shoelaces...,КРЕЙЗИ ЛЕГ ЗАШНУРОВЫВАЕТ СВОЮ ОБУВЬ...,Crazy Legs tying his shoelaces...
"<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>DISABLE</> ADS IN GAME
        <YellowText>SPIN</> THE ROULETTE
        <YellowText>SPEED UP</> WEAPON DELIVERY TIMES
        <YellowText>GAIN</> EXTRA EXP TO BOOST LVL-UP","<YellowText46>ВЫ МОЖЕТЕ</><WhiteText46> ИСПОЛЬЗОВАТЬ ИХ, ЧТОБЫ:</>
        <YellowText>ОТКЛЮЧИТЬ</> РЕКЛАМУ В ИГРЕ
        <YellowText>КРУТИТЬ</> РУЛЕТКУ
        <YellowText>УСКОРИТЬ</> СРОКИ ДОСТАВКИ УЛУЧШЕНИЯ ДЛЯ ОРУЖИЯ
        <YellowText>ПОЛУЧИТЬ</> ЕЩЕ БОЛЬШЕ ОПЫТА","<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>DISABLE</> ADS IN GAME
        <YellowText>SPIN</> THE ROULETTE
        <YellowText>SPEED UP</> WEAPON DELIVERY TIMES
        <YellowText>GAIN</> EXTRA EXP TO BOOST LVL-UP"
S,С,S
None,,None
SM 0,,SM 0
LaunchWithSpin,,LaunchWithSpin
SPIN THE ROULETTE,КРУТИ РУЛЕТКУ,SPIN THE ROULETTE
NNE,,NNE
24,24,24
Hiding jackpot...,ПРЯЧЕМ ДЖЕКПОТЫ...,Hiding jackpot...
- GAME UPDATE RELEASED -,- ВЫШЛА НОВАЯ ВЕРСИЯ ИГРЫ -,- GAME UPDATE RELEASED -
DeadVFX,ЭФФЕКТ СМЕРТИ,DeadVFX
KEEP IT UP!,ТАК ДЕРЖАТЬ!,KEEP IT UP!
Converted cascade module ParticleModuleMeshRotation.,,Converted cascade module ParticleModuleMeshRotation.
Simple,ПРОСТОЙ,Simple
Converted cascade module ParticleModuleSpawn.,,Converted cascade module ParticleModuleSpawn.
#WENEEDMOREHASHTAGSTHENBEFORE #EVENMORE #MUCHMORE,#НУЖНОБОЛЬШЕХЭШТЕГОВ #ЕЩЕБОЛЬШЕ #МНОГОХЭШТЕГОВ,#WENEEDMOREHASHTAGSTHENBEFORE #EVENMORE #MUCHMORE
Terms of Use,,Terms of Use
Connecting non-toxic players...,ПОДКЛЮЧАЕМ НЕТОКСИЧНЫХ ИГРОКОВ...,Connecting non-toxic players...
Weapon Name,,Weapon Name
MASTER COINS,PAN-МОНЕТЫ,MASTER COINS
Forend,,Forend
RELOAD TIME,ВРЕМЯ ПЕРЕЗАРЯДКИ,RELOAD TIME
POWER BANK,ПОВЕРБАНК,POWER BANK
30,30,30
Enabling Persistent IDs in the emitter properties allows for the creation of Particles.ID which is a two integer struct that uniquely identifies every particle across all the emitters in a System.,,Enabling Persistent IDs in the emitter properties allows for the creation of Particles.ID which is a two integer struct that uniquely identifies every particle across all the emitters in a System.
Executor,ЭКЗЕКЬЮТОР,Executor
BURN OUT,СГОРИТ,BURN OUT
4.A Real Magnetic Field Vector,,4.A Real Magnetic Field Vector
Bullseye preparing ambush...,БУЛС-АЙ ГОТОВИТ ЗАСАДУ...,Bullseye preparing ambush...
"Tips:
1.You need set a material for the custom verts brush.
2.In the material, call MF_Spline_AntiAliasing like materials in the UMGSpline plugin content.
3.Adjust ""SplineInfo->CustomVertsVCoordScale"" for fit texture scale.",,"Tips:
1.You need set a material for the custom verts brush.
2.In the material, call MF_Spline_AntiAliasing like materials in the UMGSpline plugin content.
3.Adjust ""SplineInfo->CustomVertsVCoordScale"" for fit texture scale."
TochDown,,TochDown
Crazy Legs,КРЕЙЗИ ЛЕГС,Crazy Legs
Ragdoll on/off,,Ragdoll on/off
GAME MODE:,РЕЖИМ ИГРЫ:,GAME MODE:
The Suspect,ЗАКЛЮЧЁННЫЙ,The Suspect
Start,,Start
Item-Name,,Item-Name
GET SOME,ПОЛУЧИТЬ ЕЩЁ,GET SOME
Crafting gun skins,СОЗДАЁМ СКИНЫ ОРУЖИЯ...,Crafting gun skins
RewardCoinBIASMode,,RewardCoinBIASMode
Sight,,Sight
Arrow,,Arrow
Wi Fi,,Wi Fi
Dispersing clouds...,,Dispersing clouds...
COLLECT,СОБРАТЬ,COLLECT
COPY,КОПИРОВАТЬ,COPY
TIME LEFT 1H 44M,ОСТАЛОСЬ: 1Ч 44М,TIME LEFT 1H 44M
Guy,ПАРЕНЁК,Guy
Accuracy,ТОЧНОСТЬ,Accuracy
Makes the surface of the sprite face towards a custom vector. Must be used with the SpriteRenderer's CustomFacingVector FacingMode option.,,Makes the surface of the sprite face towards a custom vector. Must be used with the SpriteRenderer's CustomFacingVector FacingMode option.
DELETING ACCOUNT,УДАЛИТЬ АККАУНТ,DELETING ACCOUNT
60,60,60
Gun upgrades significantly increase the chances of winning. Calculated.,Модернизация оружия значительно увеличивает шансы на победу. Подсчитано.,Gun upgrades significantly increase the chances of winning. Calculated.
Extreme,ЭКСТРИМ,Extreme
72H,72Ч,72H
"In order to catch extremely high speed particles that would otherwise overshoot the kill radius on a single frame, we expand the radius by the speed of the particle and take whichever is higher. This catches even very high velocity particles, but if overshoot is seen, this value can be increased until it disappears.",,"In order to catch extremely high speed particles that would otherwise overshoot the kill radius on a single frame, we expand the radius by the speed of the particle and take whichever is higher. This catches even very high velocity particles, but if overshoot is seen, this value can be increased until it disappears."
Show Inter,,Show Inter
"Used to drive the Particle Random node in the Material Editor. Without this set, any Particle Randoms will get 0.0.",,"Used to drive the Particle Random node in the Material Editor. Without this set, any Particle Randoms will get 0.0."
LAVA FLOW GROW UP,УРОВЕНЬ ЛАВЫ ПОДНИМАЕТСЯ,LAVA FLOW GROW UP
Bob the Blob,БОБ-БЛОБ,Bob the Blob
YOU ARE,ВЫ - ,YOU ARE
GO TO TOP,НАВЕРХ,GO TO TOP
HomingRocket,,HomingRocket
EXTEND,ПРОДЛИТЬ,EXTEND
Serving kitchen...,УКРАШАЕМ КУХНЮ...,Serving kitchen...
Pick up {0} heal pills,Подберите {0} аптечек,Pick up {0} heal pills
N,,N
Helmet-Name,,Helmet-Name
Render Resolution Scale,,Render Resolution Scale
Demo 1 - Basic,,Demo 1 - Basic
Skin-Descr,,Skin-Descr
Butterfly to Heart,,Butterfly to Heart
th,-ЫЙ,th
Living Room,ГОСТИНАЯ,Living Room
YOUR PRIZE,ВАША НАГРАДА,YOUR PRIZE
THE BEST!,ЗАШИБИСЬ!,THE BEST!
Widget Move,,Widget Move
EXLUSIVE GUN,,EXLUSIVE GUN
THE , ,THE 
CAMERA MOVEMENT GUIDE,РУКОВОДСТВО ПО УПРАВЛЕНИЮ КАМЕРОЙ,CAMERA MOVEMENT GUIDE
Goldfish,ЗОЛОТАЯ РЫБКА,Goldfish
Spinning the fortune wheel...,Вращаем колесо удачи...,Spinning the fortune wheel...
Searching for the crab mine,ИЩЕМ КРАБ-МИНЫ...,Searching for the crab mine
TurlLeft,,TurlLeft
Shadow Quality,,Shadow Quality
ENTIRE COLLECTION,ВСЯ КОЛЛЕКЦИЯ,ENTIRE COLLECTION
MOVE YOUR FINGER ON THE LEFT SIDE OF THE SCREEN TO MOVE YOUR  CHARACTER,"ПЕРЕМЕЩАЙТЕ ПАЛЬЦЕМ ПО ЛЕВОЙ ЧАСТИ ЭКРАНА, ЧТОБЫ ПЕРЕДВИГАТЬ ПЕРСОНАЖА ПО КАРТЕ",MOVE YOUR FINGER ON THE LEFT SIDE OF THE SCREEN TO MOVE YOUR  CHARACTER
Incorrect material name prefix! Should be MI_ or PPI_,,Incorrect material name prefix! Should be MI_ or PPI_
Suspect planning prison break...,ЗАКЛЮЧЁННЫЙ ПЛАНИУРЕТ СБЕЖАТЬ ИЗ ТЮРЬМЫ...,Suspect planning prison break...
DAMAGE CHALLENGE,ИСПЫТАНИЕ: УРОН,DAMAGE CHALLENGE
PM 0,,PM 0
Period:,,Period:
Dynamic Material Parameters,,Dynamic Material Parameters
TOP 10,ТОП-10,TOP 10
Music Volume,ГРОМКОСТЬ МУЗЫКИ,Music Volume
Show Reward,,Show Reward
Casual,,Casual
Skin-Spec,,Skin-Spec
Epic Vest,,Epic Vest
NorthWest,,NorthWest
GOOD... BUT NOT THE BEST,ОТЛИЧНО... НО МОЖНО ЕЩЁ ЛУЧШЕ,GOOD... BUT NOT THE BEST
Floor is Lava,,Floor is Lava
Sub UVAnimation,,Sub UVAnimation
YOU DID'NT PARTICIPATE,ВЫ НЕ УЧАСТВУЕТЕ,YOU DID'NT PARTICIPATE
Weapons,,Weapons
LANGUAGE,ЯЗЫК,LANGUAGE
SIMPLE MODE,УПРОЩЕННЫЙ РЕЖИМ,SIMPLE MODE
OPEN 15 CRATES,ОТКРОЙТЕ 15 ЯЩИКОВ,OPEN 15 CRATES
PVP,PVP,PVP
"<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>ORDER</> WEAPON UPGRADES DELIVERY
        <YellowText>BUY</> MASTER AND GUN SKIN
        <YellowText>UPGRADE</> MASTERS AND EQUIPMENT","<YellowText46>ВЫ МОЖЕТЕ</><WhiteText46> ИСПОЛЬЗОВАТЬ ИХ, ЧТОБЫ:</>
        <YellowText>ЗАКАЗАТЬ</> ДОСТАВКУ УЛУЧШЕНИЙ ДЛЯ ОРУЖИЯ
        <YellowText>КУПИТЬ</> СКИНЫ ДЛЯ МАСТЕРОВ И ОРУЖИЯ
        <YellowText>УЛУЧШИТЬ</> МАСТЕРОВ И ИХ СНАРЯЖЕНИЕ","<YellowText46>YOU CAN</><WhiteText46> USE IT TO:</>
        <YellowText>ORDER</> WEAPON UPGRADES DELIVERY
        <YellowText>BUY</> MASTER AND GUN SKIN
        <YellowText>UPGRADE</> MASTERS AND EQUIPMENT"
arm 10 masters with weapons,Вооружите оружием 10 мастеров,arm 10 masters with weapons
CHARGES,ЗАРЯДЫ,CHARGES
ROULETTE,РУЛЕТКА,ROULETTE
"I don`t need your clothes, boots and your motorcycle. Only the upgraded gun!",,"I don`t need your clothes, boots and your motorcycle. Only the upgraded gun!"
KILL,УБИЙСТВО,KILL
MONEY CASE,ЯЩИК С ДЕНЬГАМИ,MONEY CASE
Barrel,,Barrel
"Used for selecting renderers to use when rendering this particle. Without this, the particle will render in all renderers.",,"Used for selecting renderers to use when rendering this particle. Without this, the particle will render in all renderers."
AND RAISE MY LVL,И ПОДНИМАЙ МОЙ УРОВЕНЬ,AND RAISE MY LVL
Restart,,Restart
EastNorthEast,,EastNorthEast
REGION,РЕГИОН,REGION
rare,,rare
them to your style.,ЧЕМ ТВОЙ СТИЛЬ.,them to your style.
FIRST BLOOD,ПЕРВАЯ КРОВЬ,FIRST BLOOD
This Particle/Niagara Marked as internal but added to PSO level. Consider removing it from PSO or proper naming.,,This Particle/Niagara Marked as internal but added to PSO level. Consider removing it from PSO or proper naming.
Demo 2 - Spline built as custom verts,,Demo 2 - Spline built as custom verts
Max upgrades on guns will play their unique role on the battlefield.,МАКС. АПГРЕЙД на оружии сыграют свою уникальную роль на поле боя.,Max upgrades on guns will play their unique role on the battlefield.
"PLEASE, SELECT AT LEAST ONE","ПОЖАЛУЙСТА, ВЫБЕРИТЕ ХОТЯ БЫ ОДНО:","PLEASE, SELECT AT LEAST ONE"
"Gun power comes from upgrades, that's all.",,"Gun power comes from upgrades, that's all."
FIX IT,ИСПРАВИТЬ,FIX IT
Hotshot,ХОТШОТ,Hotshot
"Widget  
Region",,"Widget  
Region"
Poison Bomb,ЯДОВИТАЯ БОМБА,Poison Bomb
Golden max upgrade tag on the gun fits my Oscars.,"""МАКС. АПГРЕЙД"" на оружии очень подходит к моим Оскарам.",Golden max upgrade tag on the gun fits my Oscars.
Packing the Crates,,Packing the Crates
Choosing hats...,ВЫБИРАЕМ ШЛЯПКИ...,Choosing hats...
2.A Compass Rose,,2.A Compass Rose
RANGE,ДИСТАНЦИЯ ПОПАДАНИЯ,RANGE
Geek playing game console...,ГИК ИГРАЕТ В ИГРОВУЮ КОНСОЛЬ...,Geek playing game console...
"make 5 armor 
upgrades","СДЕЛАЙТЕ 5 
УЛУЧШЕНИЙ БРОНИ","make 5 armor 
upgrades"
AIM AT THE OPPONENT AND SHOOT,ПРИЦЕЛЬТЕСЬ НА ВРАГА И СТРЕЛЯЙТЕ,AIM AT THE OPPONENT AND SHOOT
NEXT REWARD,СЛЕДУЮЩАЯ НАГРАДА,NEXT REWARD
KillerJump,СМЕРТЕЛЬНЫЙ ПРЫЖОК,KillerJump
Any gun sucks without upgrades!,Любое оружие неэффективно без улучшений!,Any gun sucks without upgrades!
CHALLENGE IS ON FOR ,ИСПЫТАНИЕ ПРОДЛИТСЯ,CHALLENGE IS ON FOR 
Redirector  '{Name}',,Redirector  '{Name}'
Hit me to change the volume scale!,,Hit me to change the volume scale!
"PERKS ARE AVAILABLE ONLY FOR
THE TRUE PROFESSIONALS TRY
TO FIND THEM.","НАВЫКИ ДОСТУПНЫ ТОЛЬКО 
НАСТОЯЩИМ ПРОФЕССИОНАЛАМ, 
ГОТОВЫХ ИХ НАЙТИ","PERKS ARE AVAILABLE ONLY FOR
THE TRUE PROFESSIONALS TRY
TO FIND THEM."
Checking developers mood...,ПРОВЕРЯЕМ НАСТРОЕНИЕ РАЗРАБОТЧИКОВ...,Checking developers mood...
Comparing gun upgrades,СРАВНИВАЕМ УЛУЧШЕНИЕ ДЛЯ ОРУЖИЯ...,Comparing gun upgrades
Purchase,,Purchase
Downloading jumping fun...,ЗАГРУЖАЕМ ВЕСЕЛЫЕ ПРЫЖКИ...,Downloading jumping fun...
